100 0.000228
600 0.009214
1100 0.031544
1600 0.07409
2100 0.114545
2600 0.170357
3100 0.235817
3600 0.313736
4100 0.405462
4600 0.515484
5100 0.628913
5600 0.809276
6100 0.946973
6600 1.10086
7100 1.22513
7600 1.57499
8100 2.16153
8600 2.10281
9100 2.2186
9600 2.39604
10100 2.77913
10600 2.98578
11100 3.19173
11600 3.48461
12100 3.75472
12600 4.31463
13100 4.72725
13600 5.13958
14100 5.08119
14600 5.43482
15100 5.90032
15600 6.42966
16100 7.06387
16600 7.09479
17100 7.94328
17600 8.06111
18100 9.11442
18600 9.39698
19100 9.75843
19600 10.5005
20100 11.9937
20600 11.866
21100 11.4773
21600 12.4425
22100 12.6259
22600 13.1522
23100 14.1123
23600 14.449
24100 16.348
24600 16.6753
25100 16.9048
25600 17.0263
26100 17.7216
26600 18.259
27100 19.813
27600 19.3174
28100 20.088
28600 20.3516
29100 21.3886
29600 22.0107
